time,P,G(i),H_sun,T2m,WS10m,Int
20190115:0810,32.41,51.03,13.74,-0.35,1.03,0.0
20190115:0910,44.34,102.36,20.53,1.54,1.1,0.0
20190115:1010,197.33,274.98,25.06,3.13,0.97,0.0
20190115:1110,340.24,419.98,26.82,3.97,1.1,0.0
20190115:1210,427.54,511.15,25.57,4.57,1.38,0.0
20190115:1310,458.12,542.0,21.47,4.67,1.59,0.0
20190115:1410,418.22,493.26,15.02,4.34,1.38,0.0
20190115:1510,291.01,346.68,6.78,3.65,0.9,0.0
20190115:1610,0.0,0.0,0.0,2.5,0.62,0.0
20190115:1710,0.0,0.0,0.0,2.04,0.55,0.0
20190115:1810,0.0,0.0,0.0,1.4,0.48,0.0
20190115:1910,0.0,0.0,0.0,1.29,0.55,0.0
20190115:2010,0.0,0.0,0.0,1.08,0.41,0.0
20190115:2110,0.0,0.0,0.0,1.14,0.62,0.0
20190115:2210,0.0,0.0,0.0,1.3,0.76,0.0
20190115:2310,0.0,0.0,0.0,1.61,0.83,0.0
20190116:0010,0.0,0.0,0.0,1.87,0.83,0.0
20190116:0110,0.0,0.0,0.0,0.94,0.83,0.0
20190116:0210,0.0,0.0,0.0,1.23,0.83,0.0
20190116:0310,0.0,0.0,0.0,1.42,0.76,0.0
20190116:0410,0.0,0.0,0.0,1.54,0.69,0.0
20190116:0510,0.0,0.0,0.0,1.49,0.62,0.0
20190116:0610,0.0,0.0,0.0,1.41,0.62,0.0
20190116:0710,11.44,24.6,5.35,1.17,0.48,0.0
20190116:0810,69.62,94.77,13.85,1.7,0.55,0.0
20190116:0910,47.25,104.95,20.67,2.64,0.9,0.0
20190116:1010,196.67,274.34,25.23,3.7,1.31,0.0
20190116:1110,339.45,417.85,27.01,4.28,1.52,0.0
20190116:1210,412.18,492.18,25.76,5.04,1.59,0.0
20190116:1310,450.06,533.8,21.67,5.24,1.52,0.0
20190116:1410,398.1,470.39,15.22,5.09,1.45,0.0
20190116:1510,262.72,314.75,6.98,4.69,1.1,0.0
20190116:1610,0.0,0.0,0.0,3.08,0.97,0.0
20190116:1710,0.0,0.0,0.0,2.95,0.9,0.0
20190116:1810,0.0,0.0,0.0,2.67,0.9,0.0
20190116:1910,0.0,0.0,0.0,2.65,0.83,0.0
20190116:2010,0.0,0.0,0.0,2.34,0.9,0.0
20190116:2110,0.0,0.0,0.0,2.11,0.9,0.0
20190116:2210,0.0,0.0,0.0,1.63,0.97,0.0
20190116:2310,0.0,0.0,0.0,1.25,0.9,0.0
20190117:0010,0.0,0.0,0.0,0.98,0.76,0.0
20190117:0110,0.0,0.0,0.0,0.88,0.76,0.0
20190117:0210,0.0,0.0,0.0,-0.01,0.69,0.0
20190117:0310,0.0,0.0,0.0,-0.48,0.62,0.0
20190117:0410,0.0,0.0,0.0,-0.94,0.55,0.0
20190117:0510,0.0,0.0,0.0,-1.18,0.55,0.0
20190117:0610,0.0,0.0,0.0,-1.01,0.48,0.0
